,Litter,days,P_lit,P_mic,Pmic,TDP,,,,,,,,,,,,,,,
1,AK,14,0.039,68.45,68.45,77.04,,AK,14,0.039,68.45,77.04,0.035,97.29,68.32,0.052,111.75,302.09,0.073,108.12,378.04
2,AK,14,0.04,82.32,82.32,80.63,,AK,14,0.04,82.32,80.63,0.032,98.11,50.74,0.055,103.72,245.85,0.07,108.83,372.83
3,AK,14,0.038,84.06,84.06,84.18,,AK,14,0.038,84.06,84.18,0.031,76.44,65.61,0.054,109.08,246.32,0.07,155.42,352.44
4,AK,14,0.041,69.92,69.92,60.45,,AK,14,0.041,69.92,60.45,0.03,95.68,73.69,0.052,115.57,231.13,0.071,106.09,327.75
5,AK,14,0.041,52.28,52.28,98.56,,AK,14,0.041,52.28,98.56,0.032,29.35,104.47,0.053,81.74,274.12,0.067,235.95,229.95
6,AK,97,0.04,227.87,227.87,126.17,,AK,181,0.038,333.82,172.67,0.029,119.17,151.75,0.053,166.61,229.26,0.069,257.17,255.67
7,AK,97,0.041,204.81,204.81,178.32,,AK,181,0.039,282.54,245.73,0.028,88.43,169.62,0.053,170.55,205.85,0.074,236.93,262
8,AK,97,0.038,276.87,276.87,188.14,,AK,181,0.076,353.28,155.76,0.028,115.53,154.55,0.056,139.8,215.48,0.065,237.76,230.71
9,AK,97,0.038,257.55,257.55,233.69,,AK,181,0.039,385.96,134.99,0.029,142.79,139.23,0.05,150.52,229.73,0.07,263.8,233.23
10,AK,97,0.041,256.73,256.73,206.8,,AK,181,0.039,326.33,155.69,0.03,83.62,194.32,0.048,150.27,215.2,0.068,195.21,271.86
11,AK,181,0.038,333.82,333.82,172.67,,,,,,,,,,,,,,,
12,AK,181,0.039,282.54,282.54,245.73,,,,,,,,,,,,,,,
13,AK,181,0.076,353.28,353.28,155.76,,AK,14,,17.55128205,19.75384615,,27.79714286,19.52,,21.49038462,58.09423077,,14.8109589,51.78630137
14,AK,181,0.039,385.96,385.96,134.99,,AK,14,,20.58,20.1575,,30.659375,15.85625,,18.85818182,44.7,,15.54714286,53.26142857
15,AK,181,0.039,326.33,326.33,155.69,,AK,14,,22.12105263,22.15263158,,24.65806452,21.16451613,,20.2,45.61481481,,22.20285714,50.34857143
16,AK,475,0.035,127.16,127.16,87.51,,AK,14,,17.05365854,14.74390244,,31.89333333,24.56333333,,22.225,44.44807692,,14.94225352,46.16197183
17,AK,475,0.036,97.99,97.99,77.68,,AK,14,,12.75121951,24.03902439,,9.171875,32.646875,,15.42264151,51.72075472,,35.21641791,34.32089552
18,AK,475,0.035,90.52,90.52,80.98,,AK,181,,87.84736842,45.43947368,,41.09310345,52.32758621,,31.43584906,43.25660377,,37.27101449,37.05362319
19,AK,475,0.035,122.04,122.04,102.59,,AK,181,,72.44615385,63.00769231,,31.58214286,60.57857143,,32.17924528,38.83962264,,32.01756757,35.40540541
20,AK,475,0.033,94.62,94.62,79.55,,AK,181,,46.48421053,20.49473684,,41.26071429,55.19642857,,24.96428571,38.47857143,,36.57846154,35.49384615
21,KL,14,0.035,97.29,97.29,68.32,,AK,181,,98.96410256,34.61282051,,49.23793103,48.01034483,,30.104,45.946,,37.68571429,33.31857143
22,KL,14,0.032,98.11,98.11,50.74,,AK,181,,83.67435897,39.92051282,,27.87333333,64.77333333,,31.30625,44.83333333,,28.70735294,39.97941176
23,KL,14,0.031,76.44,76.44,65.61,,,,,,,,,,,,,,,
24,KL,14,0.03,95.68,95.68,73.69,,,,,,,,,,,,,,,
25,KL,14,0.032,29.35,29.35,104.47,,,,,,,,,,,,,,,
26,KL,97,0.033,120.2,120.2,58.23,,,,,,,,,,,,,,,
27,KL,97,0.033,110.5,110.5,50.02,,,,,,,,,,,,,,,
28,KL,97,0.033,122.99,122.99,106.73,,,,,,,,,,,,,,,
29,KL,97,0.035,118.19,118.19,88.72,,,,,,,,,,,,,,,
30,KL,97,0.032,72.45,72.45,56.24,,,,,,,,,,,,,,,
31,KL,181,0.029,119.17,119.17,151.75,,,,,,,,,,,,,,,
32,KL,181,0.028,88.43,88.43,169.62,,,,,,,,,,,,,,,
33,KL,181,0.028,115.53,115.53,154.55,,,,,,,,,,,,,,,
34,KL,181,0.029,142.79,142.79,139.23,,,,,,,,,,,,,,,
35,KL,181,0.03,83.62,83.62,194.32,,,,,,,,,,,,,,,
36,KL,475,0.029,139.91,139.91,48.3,,,,,,,,,,,,,,,
37,KL,475,0.029,131.67,131.67,61.64,,,,,,,,,,,,,,,
38,KL,475,0.03,130.24,130.24,65.05,,,,,,,,,,,,,,,
39,KL,475,0.029,122.87,122.87,47.9,,,,,,,,,,,,,,,
40,KL,475,0.027,98.02,98.02,61.27,,,,,,,,,,,,,,,
41,OS,14,0.052,111.75,111.75,302.09,,,,,,,,,,,,,,,
42,OS,14,0.055,103.72,103.72,245.85,,,,,,,,,,,,,,,
43,OS,14,0.054,109.08,109.08,246.32,,,,,,,,,,,,,,,
44,OS,14,0.052,115.57,115.57,231.13,,,,,,,,,,,,,,,
45,OS,14,0.053,81.74,81.74,274.12,,,,,,,,,,,,,,,
46,OS,97,0.053,114.22,114.22,194.49,,,,,,,,,,,,,,,
47,OS,97,0.052,151.16,151.16,212.7,,,,,,,,,,,,,,,
48,OS,97,0.056,176.73,176.73,200.78,,,,,,,,,,,,,,,
49,OS,97,0.053,138.19,138.19,201.99,,,,,,,,,,,,,,,
50,OS,97,0.05,147.23,147.23,203.61,,,,,,,,,,,,,,,
51,OS,181,0.053,166.61,166.61,229.26,,,,,,,,,,,,,,,
52,OS,181,0.053,170.55,170.55,205.85,,,,,,,,,,,,,,,
53,OS,181,0.056,139.8,139.8,215.48,,,,,,,,,,,,,,,
54,OS,181,0.05,150.52,150.52,229.73,,,,,,,,,,,,,,,
55,OS,181,0.048,150.27,150.27,215.2,,,,,,,,,,,,,,,
56,OS,475,0.05,113.82,113.82,197.66,,,,,,,,,,,,,,,
57,OS,475,0.048,156.58,156.58,194.96,,,,,,,,,,,,,,,
58,OS,475,0.05,122.01,122.01,193.67,,,,,,,,,,,,,,,
59,OS,475,0.047,169.38,169.38,163.61,,,,,,,,,,,,,,,
60,OS,475,0.045,96.73,96.73,196.98,,,,,,,,,,,,,,,
61,SW,14,0.073,108.12,108.12,378.04,,,,,,,,,,,,,,,
62,SW,14,0.07,108.83,108.83,372.83,,,,,,,,,,,,,,,
63,SW,14,0.07,155.42,155.42,352.44,,,,,,,,,,,,,,,
64,SW,14,0.071,106.09,106.09,327.75,,,,,,,,,,,,,,,
65,SW,14,0.067,235.95,235.95,229.95,,,,,,,,,,,,,,,
66,SW,97,0.071,152.92,152.92,242.15,,,,,,,,,,,,,,,
67,SW,97,0.069,167.75,167.75,235.07,,,,,,,,,,,,,,,
68,SW,97,0.072,147.48,147.48,282.11,,,,,,,,,,,,,,,
69,SW,97,0.067,115.31,115.31,319.46,,,,,,,,,,,,,,,
70,SW,97,0.072,136.54,136.54,265.03,,,,,,,,,,,,,,,
71,SW,181,0.069,257.17,257.17,255.67,,,,,,,,,,,,,,,
72,SW,181,0.074,236.93,236.93,262,,,,,,,,,,,,,,,
73,SW,181,0.065,237.76,237.76,230.71,,,,,,,,,,,,,,,
74,SW,181,0.07,263.8,263.8,233.23,,,,,,,,,,,,,,,
75,SW,181,0.068,195.21,195.21,271.86,,,,,,,,,,,,,,,
76,SW,475,0.068,255.89,255.89,382.24,,,,,,,,,,,,,,,
77,SW,475,0.074,409.35,409.35,371.99,,,,,,,,,,,,,,,
78,SW,475,0.068,351.55,351.55,442.23,,,,,,,,,,,,,,,
79,SW,475,0.07,411.05,411.05,436.22,,,,,,,,,,,,,,,
80,SW,475,0.077,367.62,367.62,439.93,,,,,,,,,,,,,,,
