days,AK mean,AK se,KL mean,KL se,OS mean,OS se,SW mean,SW se
0,0,0,0,0,0,0,0,0
13,0.0038927988,0.0007683048,0.0058015732,0.000543869,0.0036758343,0.0001445359,0.0066343797,0.001179491
21,0.0068153023,0.000957415,0.0109568635,0.0007536203,0.0072512232,0.0003925935,0.0142281107,0.0016355651
28,0.0077136429,0.0009910936,0.0143609354,0.0008820689,0.0098696107,0.0005739543,0.0196479804,0.0017890479
35,0.0094058367,0.001043751,0.0178438356,0.001029935,0.0127474077,0.000706967,0.0239074183,0.0018493452
49,0.0139618839,0.0012698397,0.0224969389,0.0012332195,0.0178720574,0.0011105385,0.0295155607,0.0019027647
55,0.0159035411,0.0012891111,0.0242720642,0.0012376698,0.0198649089,0.0011737557,0.0314418966,0.0019343479
63,0.0182789959,0.0013110584,0.0275748847,0.0012618447,0.0223388867,0.0012436164,0.0341699642,0.0020282566
70,0.0199468851,0.0013270985,0.0305318647,0.0013004781,0.0243385812,0.0012632334,0.0370127145,0.002062632
76,0.02166189,0.0013314959,0.0327579899,0.0013346429,0.0262732054,0.001280262,0.0398238135,0.0020750157
84,0.0244286094,0.0013493386,0.0358046378,0.0013840578,0.0292779874,0.0013389875,0.0435448017,0.0021210719
91,0.0270766614,0.0013731334,0.0386293449,0.0014549668,0.0321344346,0.001388881,0.0470242975,0.0021501817
96,0.0287136525,0.0013799011,0.0406097317,0.0015069446,0.0338963344,0.0014020288,0.0489720752,0.0021592817
105,0.0315673951,0.0014281572,0.044998536,0.0016685105,0.0370545342,0.0014641414,0.0519521357,0.0021976183
112,0.033800939,0.0014849898,0.0489475666,0.0017477686,0.0395000636,0.0014923528,0.0551644526,0.0022228986
119,0.0354027066,0.0015212816,0.0528512237,0.0018222466,0.0412984608,0.0015097056,0.0587505238,0.0022641781
126,0.0376264128,0.0016277445,0.0578298699,0.0019814139,0.0441039611,0.0015389368,0.0626994356,0.0022908456
133,0.0403767822,0.0016979374,0.0625743356,0.0021325253,0.0474747846,0.001550674,0.0668371838,0.0023124025
140,0.0431162673,0.0017079045,0.0672971959,0.0022945677,0.0504448904,0.0015579948,0.0707704701,0.0023450972
147,0.04580022,0.0017160765,0.0726135136,0.002417895,0.0540868543,0.0016298212,0.0750432704,0.0024050033
154,0.0483419813,0.0017180649,0.0778331442,0.0024693293,0.0577490946,0.0017014548,0.0795903187,0.0024348432
161,0.0513848413,0.0017267289,0.0832365228,0.0026122166,0.0613153989,0.001760704,0.08422549,0.0024564047
168,0.054456221,0.0017586606,0.0881316697,0.0027674326,0.064658678,0.0018218882,0.0883299402,0.002490342
175,0.0566125964,0.0017785338,0.0918676167,0.0027999462,0.067062799,0.0018337256,0.0916978537,0.002501347
180,0.0576940072,0.0017817645,0.0940797994,0.0028079101,0.0684161496,0.0018372149,0.0943076254,0.0025133717
