Code,Harvest,Litter,f2b,mesocosm,Dothideomycetes,Eurotiomycetes,Leotiomycetes,Saccharomycetes,Sordariomycetes,Agaricomycetes,Tremellomycetes,Ustilaginomycetes,Thermotogae,Bacteroidetes,Actinobacteria,Cyanobacteria,Firmicutes,Fusobacteria,Verrucomicrobia,Dictyoglomi,Alpha,Beta,Gamma,Delta,Epsilon
E1-A-I-A,I,AK,5.4,58,9.72,14.7909375,11.694375,7.576875,39.099375,0.81,0.6834375,0,1.5671875,0,0.3203125,0,0,0.803125,0,0,2.2027240625,0,10.7316509375,0,0
E1-A-I-C,I,AK,5.4,,,,,,,,,,,,,,,,,,,,,,
E1-A-I-D,I,AK,5.4,,,,,,,,,,,,,,,,,,,,,,
E1-A-I-E,I,AK,5.4,,,,,,,,,,,,,,,,,,,,,,
E1-A-I-F,I,AK,5.4,,,,,,,,,,,,,,,,,,,,,,
E1-A-II-A,II,AK,1.1,64,3.2738095238,18.899047619,3.4047619048,3.6561904762,22.5447619048,0.6023809524,0,0,1.9142857143,1.1571428571,0,1.819047619,1.3619047619,0,0,0,3.9629266667,3.3424266667,34.0613133333,0,0
E1-A-II-B,II,AK,1.1,,,,,,,,,,,,,,,,,,,,,,
E1-A-II-C,II,AK,1.1,,,,,,,,,,,,,,,,,,,,,,
E1-A-II-D,II,AK,1.1,,,,,,,,,,,,,,,,,,,,,,
E1-A-II-E,II,AK,1.1,,,,,,,,,,,,,,,,,,,,,,
E1-A-III-A,III,AK,1.8,70,6.4028571429,21.8121428571,5.58,2.9507142857,25.5664285714,1.1185714286,0.8485714286,0,0.975,0,1.8214285714,0.4642857143,0,0,0,0,3.9139007143,1.2429717857,26.17056,1.1228935714,0
E1-A-III-B,III,AK,1.8,,,,,,,,,,,,,,,,,,,,,,
E1-A-III-C,III,AK,1.8,,,,,,,,,,,,,,,,,,,,,,
E1-A-III-D,III,AK,1.8,,,,,,,,,,,,,,,,,,,,,,
E1-A-III-E,III,AK,1.8,,,,,,,,,,,,,,,,,,,,,,
E1-A-IV-B,IV,AK,1.72773,77,5.9982487636,13.9220177217,11.6544643348,1.4568080419,23.4736113178,2.8946142397,1.7608375462,1.0260995773,0.6635554105,2.7752013579,6.0379876307,0,0.5609059548,0.6048985787,0.1979668076,0,6.8794257496,5.1853929824,13.0564476689,0.6998214633,0
E1-A-IV-C,IV,AK,1.72773,,,,,,,,,,,,,,,,,,,,,,
E1-A-IV-D,IV,AK,1.72773,,,,,,,,,,,,,,,,,,,,,,
E1-A-IV-E,IV,AK,1.72773,,,,,,,,,,,,,,,,,,,,,,
E1-A-IV-F,IV,AK,1.72773,,,,,,,,,,,,,,,,,,,,,,
E1-K-I-A,I,KL,9,1,9.063,20.763,15.048,5.562,38.763,0,0.324,0.468,0,0,0.725,1.536,0.431,0,0.468,0,4.3932902,0,2.4477098,0,0
E1-K-I-B,I,KL,9,,,,,,,,,,,,,,,,,,,,,,
E1-K-I-C,I,KL,9,,,,,,,,,,,,,,,,,,,,,,
E1-K-I-D,I,KL,9,,,,,,,,,,,,,,,,,,,,,,
E1-K-I-E,I,KL,9,,,,,,,,,,,,,,,,,,,,,,
