Code,Harvest,Litter,Initial (start) FM,Initial (start) DM,Start water content,FM at harvest,DM at harvest,Water content at harvest,Mass loss,Cellulase,Chitinase,Phosphatase,Protease,Peroxydase,Phenoloxidase,Amino acid concentration,Gross protein depolymerization,Gross amino acid immobilization,Gross N mineralization,Gross NH4 immobilization,Gross nitrification,Gross NO3 immobilization,Gross P mineralization,Gross P immobilization,Glucan Gross Depolymerisation,Glucan Net Depolymerisation,Glucose Gross Consumption,Glucose concentration,Acid detergent fibre,Cellulose,Lignin not ash corrected,Starch,NH4 concentration,NO3 concentration,PO4 concentration,TDP,Respiration,C_lit,N_lit,P_lit,C:N_lit,C:P_lit,N:P_lit,K litter,CA litter,MG litter,FE litter,MN litter,ZN litter,C_mic,N_ mic,P_mic,C:N_mic,C:Pmic,N:Pmic,DOC,TN,DON,DOC_k2SO4,TN_K2SO4,pH H2O,total PFLA content,identified PLFA content ,approx. Fungal Biomass,main fungal marker 18:2(9),Sum of gram positiv markers,Sum of general bacterial markers incl. gram+,ratioF/B 1,ratioF/B 2,ratioF/B 3,conc_acc_resp_dw,conc_acc_resp_dw_se,cons_acc_resp_litC,cons_acc_resp_litC_se,f2b_qpcr
E1-A-I-A,I,AK,61.38,24.55,60,38.04,24.31,36.11,1,0.021,0.018,0.864,0.109,1.003,0.531,2.47,99.28,180.61,14.37,1.17,10.19,8.23,50.92,93.36,126.62,-152.3,278.92,50.25,,,,,2.4762929378,2.0495867041,44.6506196684,77.037727487,101.32,51.82,0.92,0.039,56.3260869565,1328.717948718,23.5897435897,0.26,1.37,0.28,214,175,32,1.038,0.085,0.0709766292,12.2117647059,14.6245322104,1.1975773005,7.331,0.173,5.08,2.414,0.082,6.5,,,,,,,,,,0.0019695226,0.000382174,0.0038927988,0.0007553741,10.447442
E1-A-I-C,I,AK,61.07,24.43,60,43.9,24.19,44.9,1,0.027,0.025,0.976,0.144,0.253,0.294,2.65,130.03,254.68,20.82,17.55,10.19,6.86,57.9,101.91,,-104.86,86.81,31.92,,,,,2.2314504991,2.2241047783,42.5076850759,80.6264747697,137.08,50.48,0.89,0.04,56.7191011236,1262,22.25,0.25,1.31,0.27,208,179,30,1.431,0.091,0.0852510941,15.7252747253,16.785708329,1.0674349811,6.968,0.153,5.67,2.53,0.093,6.5,,,,,,,,,,0.0019695226,0.000382174,0.0038927988,0.0007553741,6.716278
E1-A-I-D,I,AK,60.79,24.31,60,44.36,24.07,45.74,1,0.074,0.029,0.962,0.203,0.3,0.313,1.54,110.78,157.33,15.61,11.02,15.05,12.64,73.43,100.95,43.83,-59.04,102.87,26.27,,,,,2.9220645258,2.5005290323,50.2888356462,84.1776452321,52.11,50.63,0.86,0.038,58.8720930233,1332.3684210526,22.6315789474,0.26,1.33,0.27,211,174,31,1.604,0.124,0.0870337603,12.935483871,18.4296299974,1.4247344886,9.557,0.239,8.2,2.592,0.094,6.6,,,,,,,,,,0.0019695226,0.000382174,0.0038927988,0.0007553741,8.110309
E1-A-I-E,I,AK,61.86,24.74,60,38.67,24.5,36.66,1,0.034,0.016,0.859,0.104,0.332,0.383,2.43,81.42,210.39,10.28,2.78,9.83,9.6,43.2,39.1,293.56,-125.12,418.68,53.09,,,,,2.0039598816,2.2073763632,32.728705597,60.4484429767,68.86,49.73,0.85,0.041,58.5058823529,1212.9268292683,20.7317073171,0.26,1.33,0.27,213,166,30,0.928,0.092,0.0724694057,10.0869565217,12.805403762,1.269501235,8.012,0.192,6.02,2.178,0.077,6.6,,,,,,,,,,0.0019695226,0.000382174,0.0038927988,0.0007553741,11.580459
E1-A-I-F,I,AK,60.82,24.33,60,39.73,24.09,39.38,1,0.061,0.024,0.921,0.137,0.235,0.199,2.66,120.41,237.52,15.48,3.76,12.04,10.43,71.37,104.59,146.93,-152.09,299.02,47.14,,,,,3.0653453418,2.2431279659,68.5215336488,98.5571584189,80.2,51.63,0.87,0.041,59.3448275862,1259.2682926829,21.2195121951,0.26,1.31,0.27,203,167,31,0.567,0.06,0.0549448403,9.45,10.3194403104,1.0920042657,10.099,0.22,8.37,2.886,0.095,6.5,,,,,,,,,,0.0019695226,0.000382174,0.0038927988,0.0007553741,29.474061
E1-A-II-A,II,AK,61.41,24.56,60,44.65,21.7,51.4,11.66,3.567,2.182,25.581,1.601,0.33,0.435,7.99,75.56,240.53,31.81,36.01,31.33,38.77,21.75,28.7,161.78,-89.79,251.58,18.11,64.06,26.82,35.81,0.06,6.302402519,1.6178918063,37.0451858441,126.1728427208,40.71,50.65,0.87,0.04,58.2183908046,1266.25,21.75,0.25,1.39,0.28,214,184,36,2.083,0.181,0.2316962364,11.5082872928,8.990219403,0.781195253,2.328,0.072,7.56,1.614,0.063,7,363.16,1571.05,22,259.62,40.52,668.02,6.41,0.0116,1.2181,0.015389523,0.0011572278,0.0304176839,0.0017312446,12.801646
E1-A-II-B,II,AK,60.92,24.37,60,45.23,24.48,45.88,-0.44,5.289,2.449,23.651,1.518,0.949,0.561,7.02,48.23,47.64,31.04,28.97,36.35,61.06,37,78.74,310.13,-190.66,500.79,48.08,62.78,25.55,35.82,0.071,6.3986370379,2.6236111408,59.5823864439,178.320595606,35.26,50.85,0.9,0.041,56.5,1240.243902439,21.9512195122,0.24,1.39,0.28,217,169,34,2.126,0.192,0.2082491253,11.0729166667,10.2089264343,0.9219726601,2.785,0.086,3.23,2.137,0.071,7,457.55,2034.48,28.74,339.12,47.79,852.77,7.1,0.0055,1.2727,0.015389523,0.0011572278,0.0304176839,0.0017312446,15.136107
E1-A-II-C,II,AK,61.66,24.66,60,51.04,26.85,47.4,-8.85,2.331,1.673,20.287,1.079,0.368,0.353,7.16,27.55,88.44,11.72,6.5,44.02,63.2,37.12,81,219.51,-148.48,367.99,31.63,62.76,25.81,35.55,,6.2432037439,2.2388270707,39.4536992213,188.1366728636,29.33,47.74,0.83,0.038,57.5180722892,1256.3157894737,21.8421052632,0.23,1.25,0.26,199,159,30,1.851,0.164,0.2804009161,11.2865853659,6.6012623139,0.5848768339,2.393,0.077,4.31,1.858,0.066,6.9,433.48,1873.39,31.43,370.87,40.15,711.21,9.24,0.0098,1.498,0.015389523,0.0011572278,0.0304176839,0.0017312446,10.0899
E1-A-II-D,II,AK,60.81,24.32,60,48.24,23.25,51.8,4.41,4.094,2.521,26.311,1.903,0.598,0.566,7.2,43.61,179.48,11.82,7.91,42.33,61.29,32.25,54.29,214.63,-132.01,346.64,31.07,53.33,23.54,28.6,0.07,7.8239261986,3.2568652325,57.7469693997,233.6858152854,,49.85,0.88,0.038,56.6477272727,1311.8421052632,23.1578947368,0.24,1.31,0.28,204,151,34,1.709,0.179,0.2614016874,9.5474860335,6.5378307874,0.6847698718,2.591,0.076,1.19,2.192,0.071,7.1,428.33,1711.67,25.94,306.04,19.15,635.47,15.98,0.0249,1.5342,0.015389523,0.0011572278,0.0304176839,0.0017312446,12.980641
E1-A-II-E,II,AK,60.94,24.37,60,44.83,23.08,48.51,5.3,2.004,3.262,17.228,1.003,0.31,0.319,7.74,131.42,231.89,12.43,14.57,39.58,58.01,31.61,51.98,256.99,-173.07,430.05,36.55,65.77,27.24,37.06,0.049,7.4043938712,2.9476293059,38.4057064471,206.8000044114,44.82,50.05,0.88,0.041,56.875,1220.7317073171,21.4634146341,0.25,1.31,0.28,218,170,33,1.838,0.165,0.2603429581,11.1393939394,7.0599182444,0.6337793854,2.461,0.082,2.89,1.902,0.071,7,518.5,2274.34,33.27,392.53,62.22,951.16,6.31,0.0107,1.2685,0.015389523,0.0011572278,0.0304176839,0.0017312446,12.225224
